type,external_id,name,size,price,vintage,winery
WHITE,1., Cuvee Trias ,"0,75 lt.","€ 49,00",2020, Niedrist
WHITE,2., Terlaner Sauvignon Porphyr&Kalk ,"0,75 lt.","€ 49,00",2021, Niedrist
WHITE,5., Pinot Grigio Vigna Kastel Ringberg ,"0,75 lt.","€ 49,00",2022, Elena Walch
WHITE,6., Flora Cuvee Bianco Riserva ,"0,75 lt.","€ 49,00",2020, KG. Girlan
WHITE,7., Pinot Bianco Platt & Riegl ,"0,75 lt.","€ 35,00",2022, KG. Girlan
WHITE,8., Fontanasanta Nosiola (Anfora) ,"0,75 lt.","€ 55,00",2021, Foradori Bio
WHITE,9., Furmint Dry Mandolas ,"0,75 lt.","€ 45,00",2018, Oremus
WHITE,11., Rkatsiteli (Anfora) ,"0,75 lt.","€ 65,00",2022, Tsarapi
WHITE,12., Lugana Le Crete ,"0,75 lt.","€ 39,00",2023, Otella 
WHITE,13., Heritage Chilar (Anfora),"0,75 lt.","€ 115,00",2020, Zorah 
RED,20., Radici Taurasi Ris. ,"0,75 lt.","€ 75,00",2016, Mastroberardino
RED,21., Vernatsch Gschleier Alte Reben ,"0,75 lt.","€ 45,00",2021, KG. Girlan
RED,22., Primitivo ES ,"0,75 lt.","€ 89,00",2022, Gianfranco Fino
RED,23., Pinot Noir Ris. ,"0,75 lt.","€ 65,00",2019, Niedriest
RED,24., Fervore ,"0,75 lt.","€ 45,00",2017, Terre di Balbia Bio
RED,25., Pinot Noir Hausmannhof ,"0,75 lt.","€ 49,00",2020, Haderburg Bio
RED,26., Cuvee Rot ,"0,75 lt.","€ 49,00",2019, Baron Widmann
RED,27., Linticlarus Cuvee ,"0,75 lt.","€ 76,00",2020, Tiefenbrunner
RED,29., Merlot Brenntal ,"0,75 lt.","€ 75,00",2020, Kellerei Kurtatsch 
RED,30., Syrah La Monaca ,"0,75 lt.","€ 45,00",2020, Sallier de La Tour
RED,31., Pinot Noir ,"0,75 lt.","€ 75,00",2020, Palliser
RED,32.,  Valpolicella Ripasso Campi Magri ,"0,75 lt.","€ 49,00",2019," Corte Sant Alda, Bio"
RED,33., Teroldego Sgarzon (Anfora) ,"0,75 lt.","€ 55,00",2021," Foradori, Bio"
RED,34., Heritage Sireni (Anfora) ,"0,75 lt.","€      115,00",2019, Zorah     
DESSERT,41., Essenzia ,"0,375 lt.","€ 55,00",2019, Pojer & Sandri
DESSERT,42., Recioto di Valpolicella Le Tordare ,"0,500 lt.","€ 55,00",2012, Cà la Bionda
DESSERT,43., Banyuls Leon Parce ,"0,500 lt.","€ 55,00",2019, Dom. de la Rectorie
,101.,  Arunda Brut,"0,375 lt.","€ 39,00",,
,100., Praeclarus Brut,"0,75 lt.","€ 45,00",,
