external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,EK
,SPARKLING,Haderburg Brut ,Haderburg ,,0.75,0,4900,1950,50,,,True,19.5
,SPARKLING,Haderburg Pas Dose` ,Haderburg ,,0.75,0,5200,2600,50,,,True,26.0
,SPARKLING,Franciacorta Cuvée Brut ,Bellavista ,,0.75,0,5100,2750,50,,,True,27.5
,SPARKLING,Franciacorta Satin ,Bellavista ,,0.75,0,6300,3990,50,,,True,39.9
,,Prosecco Brut Zero 26° Primo ,Andreola ,,0.75,0,3400,880,50,,,True,8.8
,SPARKLING,Prosecco Brut Col del Forno ,Andreola ,,0.75,0,3400,880,50,,,True,8.8
,SPARKLING,Prosecco Extra Dry Mas de Fer ,Andreola ,,0.75,0,3400,880,50,,,True,8.8
,SPARKLING,Ferrari Maximum Brut ( Trento doc ) ,Ferrari,,0.75,0,6000,2090,50,,,True,20.9
,,Trento Doc Blauwal Rose`,Cesconi,,0.75,0,50,2690,50,,,True,26.9
,,Trento Doc Blauwal Extra Brut,Cesconi,,0.75,0,49,1950,50,,,True,19.5
,SPARKLING,Ruinart Brut ,Ruinart,,0.75,0,9800,3390,50,,,True,33.9
,SPARKLING,Ruinart Rose`,Ruinart,,0.75,0,14000,4990,50,,,True,49.9
,SPARKLING,Bollinger Brut ,Bollinger,,0.75,0,10500,5790,50,,,True,57.9
,SPARKLING,Dom Perignon Brut ,Dom Perignon,,0.75,0,27000,21500,50,,,True,215.0
,SPARKLING,Krug Gran Cuvée Brut ,Krug,,0.75,0,25800,20900,50,,,True,209.0
,SPARKLING,Moet & Chandon Ice Imperial ,Moet & Chandom,,0.75,0,10500,5900,50,,,True,59.0
,WHITE,Chardonnay Turmhof,Tiefenbrunner,,0.75,0,4100,1400,50,,,True,14.0
,WHITE,Chardonnay Lafoa,Schreckbichl,,0.75,0,4600,1989,50,,,True,19.9
,WHITE,Chardonnay St. Valentin,St. Michael,,0.75,0,4600,1939,50,,,True,19.4
,WHITE,Chardonnay Cardellino,Elena Walch,,0.75,0,3900,1440,50,,,True,14.4
,WHITE,Chardonnay Riserva,Happacherhof,,0.75,0,4100,1689,50,,,True,16.9
,WHITE,Chardonnay,Lageder,,0.75,0,3400,944,50,,,True,9.45
,WHITE,Gewürztraminer Kolbenhofer,Hofstätter,,0.75,0,5300,2490,50,,,True,24.9
,WHITE,Gewürztraminer Lafoa,Schreckbichl,,0.75,0,4600,1889,50,,,True,18.9
,WHITE,Gewürtztraminer St. Valentin,St. Michael,,0.75,0,4600,1939,50,,,True,19.4
,WHITE,Gewürztraminer Campaner,Kellerei Kaltern,,0.75,0,3700,1130,50,,,True,11.3
,WHITE,Gewürztraminer Nussbaumer,Kellerei Tramin,,0.75,0,4800,2150,50,,,True,21.5
,WHITE,Gewürztraminer Gumphof,Gumphof,,0.75,0,3900,1450,50,,,True,14.5
,WHITE,Terlaner Sauvignon,Messnerhof,,0.75,0,3800,1350,50,,,True,13.5
,WHITE,Sauvignon Lafoa,Schreckbichl,,0.75,0,4500,1889,50,,,True,18.9
,WHITE,Sauvignon St. Valentin,St. Michael,,0.75,0,4600,1939,50,,,True,19.4
,WHITE,Sauvignon Graf von Meran,Kellerei Meran,,0.75,0,3600,1100,50,,,True,11.0
,WHITE,Sauvignon Oberberg,Kornellhof,,0.75,0,4800,2100,50,,,True,21.0
,WHITE,Sauvignon riserva Renaissance,Gumphof,,0.75,0,5800,3090,50,,,True,30.9
,,Sauvignon Quarz,Terlan,,0.75,0,6400,3629,50,,,True,36.3
,WHITE,Kerner Praepusitus,Neustift,,0.75,0,4200,1590,50,,,True,15.9
,WHITE,Kerner Riserva Aurona,Laimburg,,0.75,0,4600,1689,50,,,True,16.9
,WHITE,Kerner,Taschlerhof,,0.75,0,3900,1190,50,,,True,11.9
,WHITE,Sylvaner,Pacherhof,,0.75,0,3900,1350,50,,,True,13.5
,,Sylvaner Alte Reben,Pacherhof,,0.75,0,4700,2100,50,,,True,21.0
,WHITE,Veltliner,Garlieder,,0.75,0,3800,1250,50,,,True,12.5
,WHITE,Riesling,Laimburg,,0.75,0,3700,1620,50,,,True,16.2
,WHITE,Riesling,Pacherhof,,0.75,0,4300,1500,50,,,True,15.0
,WHITE,Pinot grigio Porer,Lageder,,0.75,0,4300,1500,50,,,True,15.0
,WHITE,Pinot grigio,Koblerhof,,0.75,0,3600,1030,50,,,True,10.3
,WHITE,Pinot grigio St. Valentin,St. Michael,,0.75,0,4900,1939,50,,,True,19.4
,WHITE,Pinot grigio Unterebner,Kellerei Tramin,,0.75,0,4600,1980,50,,,True,19.8
,WHITE,Pinot bianco Vorberg,Kellerei Terlan,,0.75,0,4900,2290,50,,,True,22.9
,WHITE,Pinot bianco Versalto,Alois Lageder,,0.75,0,4100,1445,50,,,True,14.45
,WHITE,Pinot bianco Schulthauser,St. Michael,,0.75,0,3500,1000,50,,,True,10.0
,WHITE,Pinot bianco Strahler,Stroblhof,,0.75,0,3800,1250,50,,,True,12.5
,WHITE,Pinot bianco Verena,Nicolussi Leck,,0.75,0,3600,1019,50,,,True,10.2
,WHITE,Weissburgunder riserva Renaissance,Gumphof,,0.75,0,5500,2990,50,,,True,29.9
,WHITE,Weissburgunder,Lieselehof,,0.75,0,4300,1689,50,,,True,16.9
,WHITE,Müller Thurgau Feldmarschall,Tiefenbrunner,,0.75,0,6200,3990,50,,,True,39.9
,WHITE,Müller Thurgau,Pacherhof,,0.75,0,3700,1440,50,,,True,14.4
,WHITE,Weiss Private,Pacherhof,,0.75,0,5500,2790,50,,,True,27.9
,WHITE,Reserve della Contessa,Manincor,,0.75,0,4000,1430,50,,,True,14.3
,WHITE,Amistar Bianco Cuveè,Peter Sölva,,0.75,0,5200,2030,50,,,True,20.3
,WHITE,Grand Cuvee` I°,Kellerei Terlan,,0.75,0,21500,14000,50,,,True,140.0
,WHITE,Appius,St. Michael,,0.75,0,14000,9900,50,,,True,99.0
,WHITE,Pfefferer,Schreckbichl,,0.75,0,3300,760,50,,,True,7.6
,WHITE,Lugana S. Christina,Zenato,,0.75,0,3700,1130,50,,,True,11.3
,WHITE,Nosiola Fontanasanta,Foradori,,0.75,0,5000,2400,50,,,True,24.0
,,Lagrein Rose` Lageder,Lageder,,0.75,0,3500,994,50,,,True,9.95
,,La Rose de Manincor,Manincor,,0.75,0,4200,1550,50,,,True,15.5
,,Merlot rose`,Koblerhof,,0.75,0,3700,1190,50,,,True,11.9
,,"Flaschenpost 0,5 lt",Sölva & Kofler,,0.5,0,2900,770,50,,,True,7.7
,,Perrose`,Peter Sölva,,0.75,0,4000,1120,50,,,True,11.2
,,Rosa dei Masi ,Masi ,,0.75,0,3400,980,50,,,True,9.8
