ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,6,FORTIFIED,"Merlino 19,07",Pojer & Sandri,,BOTTLE,,5500,,6,"purchase_price: 19.85 € , supplier: FW, retail_price: 39.96 € , glass_price: € 9.17",Merlino Rosso Fortificato,Pojer e Sandri,wine_01gzr4ksehej5gqw3qzhv5mezd,1197752,39.465195,,39.465195
TRUE,10,SPARKLING,Palladius Pfösl Prosecco Millesimato (inkl. Etikett),Palladius,,BOTTLE,,2500,,576,"purchase_price: 5.50 € , supplier: FW, retail_price: 11.07 € , glass_price: € 4.17",Prosecco Millesimato Extra Dry,Palladius,wine_01havwedm7cggfejpjq2gwhtk2,,42.335224,,42.335224
TRUE,23,SPARKLING,Ferrari Riserva,Giulio Ferrari,,BOTTLE,2010,24800,,2,"purchase_price: 135.00 € , supplier: Karner, retail_price: 271.76 € , glass_price: € 41.33",'Giulio Ferrari'' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,1256452,30.482803,,30.482803
TRUE,74,WHITE,Chardonnay AU AT Tempus,Kellerei Tiefenbrunner,,BOTTLE,2014,13000,,1,"purchase_price: 55.00 € , supplier: Cuzziol, retail_price: 110.72 € , glass_price: € 19.33",AU Chardonnay,Tiefenbrunner,wine_01h0sq47vfce9adexvr8y68mcj,,35.563065,,35.563065
TRUE,74,WHITE,Chardonnay AU AT Tempus,Kellerei Tiefenbrunner,,BOTTLE,2015,12000,,4,"purchase_price: 55.00 € , supplier: Cuzziol, retail_price: 110.72 € , glass_price: € 19.33",AU Chardonnay,Tiefenbrunner,wine_01h0sq47vfce9adexvr8y68mcj,,35.563065,,35.563065
TRUE,74,WHITE,Chardonnay AU AT Tempus,Kellerei Tiefenbrunner,,BOTTLE,2016,12000,,4,"purchase_price: 55.00 € , supplier: Cuzziol, retail_price: 110.72 € , glass_price: € 19.33",AU Chardonnay,Tiefenbrunner,wine_01h0sq47vfce9adexvr8y68mcj,,35.563065,,35.563065
TRUE,139,WHITE,Gewürztraminer Epokale,Kellerei Tramin,,BOTTLE,2015,20000,,2,"purchase_price: 95.00 € , supplier: Alka, retail_price: 191.24 € , glass_price: € 33.33",Epokale,Tramin,wine_01h0sq47xh5n9yqan0denv5sx8,,39.026497,,39.026497
TRUE,221,RED,Gschleier,Kellerei Girlan,,BOTTLE,2020,4000,,3,"purchase_price: 12.80 € , supplier: FW, retail_price: 25.77 € , glass_price: € 6.67",Gschleier Vernatsch Alte Reben,Girlan,wine_01h0b4rjgxsqh9zf0h82pxmsgh,,36.17211,,36.17211
TRUE,221,RED,Gschleier - Magnum,Kellerei Girlan,,MAGNUM,2020,7000,,1,"purchase_price: 12.80 € , supplier: FW, retail_price: 25.77 € , glass_price: € 6.67",Gschleier Vernatsch Alte Reben,Girlan,wine_01h0b4rjgxsqh9zf0h82pxmsgh,,36.17211,,36.17211
TRUE,227,RED,Magdalener klassisch ,Untermoserhof - Georg Ramoser,,BOTTLE,2021,4300,,10,"purchase_price: 14.15 € , supplier: FW, retail_price: 28.48 € , glass_price: € 7.17",St. Magdalener Klassisch,Untermoserhof,wine_01gzr4ksn2t24p49fh4ph3cme3,1579852,45.124313,,45.124313
TRUE,227,RED,"Magdalener klassisch HUB - 1,5 31,5",Untermoserhof - Georg Ramoser,,MAGNUM,2021,7500,,2,"purchase_price: 14.15 € , supplier: FW, retail_price: 28.48 € , glass_price: € 7.17",St. Magdalener Klassisch,Untermoserhof,wine_01gzr4ksn2t24p49fh4ph3cme3,1579852,45.124313,,45.124313
TRUE,231,RED,Blauburgunder Matan Riserva - ,Weingut Pfitscher,,BOTTLE,2020,6100,,8,"purchase_price: 23.50 € , supplier: O, retail_price: 47.31 € , glass_price: € 10.17",Pinot Nero Riserva Matan,Pfitscher,wine_01gzr4kt58d7getsnyf8992dzq,,40.55153,,40.55153
TRUE,290,WHITE,Cabernet Löwengang Rarum,Alois Lageder,,BOTTLE,1998,14900,,1,"purchase_price: 70.00 € , supplier: Lageder, retail_price: 140.91 € , glass_price: € 26.50",Löwengang Chardonnay,Alois Lageder,wine_01hndsrmndw98djg58tzvwh8qx,,48.887844,,48.887844
TRUE,290,WHITE,Cabernet Löwengang Rarum,Alois Lageder,,BOTTLE,2003,14400,,1,"purchase_price: 70.00 € , supplier: Lageder, retail_price: 140.91 € , glass_price: € 26.50",Löwengang Chardonnay,Alois Lageder,wine_01hndsrmndw98djg58tzvwh8qx,,48.887844,,48.887844
TRUE,290,WHITE,Cabernet Löwengang Rarum,Alois Lageder,,BOTTLE,2005,0,,1,"purchase_price: 70.00 € , supplier: Lageder, retail_price: 140.91 € , glass_price: € 26.50",Löwengang Chardonnay,Alois Lageder,wine_01hndsrmndw98djg58tzvwh8qx,,48.887844,,48.887844
TRUE,290,WHITE,Cabernet Löwengang Rarum,Alois Lageder,,BOTTLE,2007,0,,1,"purchase_price: 70.00 € , supplier: Lageder, retail_price: 140.91 € , glass_price: € 26.50",Löwengang Chardonnay,Alois Lageder,wine_01hndsrmndw98djg58tzvwh8qx,,48.887844,,48.887844
TRUE,290,WHITE,Cabernet Löwengang Rarum,Alois Lageder,,BOTTLE,2010,13900,,1,"purchase_price: 70.00 € , supplier: Lageder, retail_price: 140.91 € , glass_price: € 26.50",Löwengang Chardonnay,Alois Lageder,wine_01hndsrmndw98djg58tzvwh8qx,,48.887844,,48.887844
TRUE,42,SPARKLING,Champagne Coutier,Coutier,,BOTTLE,2011,8700,,7,"purchase_price: 39.15 € , supplier: Michl, retail_price: 78.81 € , glass_price: € 14.50",Cuvée Grande Reserve Brut Champagne,Cloutier,wine_01h0qsxmz2vymhmdnd7ez90mqz,,,,
TRUE,49,SPARKLING,Champagne Legras Haas Extra Brut Chouilly grand cru,Legras Haas,,BOTTLE,,8900,,6,"purchase_price: 42.00 € , supplier: WD, retail_price: 84.55 € , glass_price: € 14.83",Brut Rosé Champagne Grand Cru ''Chouilly'',Legras & Haas,wine_01h4pmmfcxjg25jt2fnmtbbtbd,,,,
TRUE,146,WHITE,Beyond the Clouds Argentum Bonum,Weingut Elena Walch,,BOTTLE,2012,13200,,1,"purchase_price: 60.60 € , supplier: O, retail_price: 121.99 € , glass_price: € 22.00",Beyond the Clouds,Elena Walch,wine_01gzr4kt16x7xf11p195ys5yks,,,,
TRUE,198,WHITE,Grüner Veltliner Vogelsang,Bründelmayer,,BOTTLE,2022,5400,,0,"purchase_price: 19.90 € , supplier: WD, retail_price: 40.06 € , glass_price: € 9.00",Grüner Veltliner Ried Berg Vogelsang,Weingut Bründlmayer,wine_01h0my5t2psw58e8850kv8mj31,,,,
TRUE,204,WHITE,Chardonnay,Sandhi,,BOTTLE,2018,6700,,2,"purchase_price: 31.15 € , supplier: Michl, retail_price: 62.70 € , glass_price: € 11.17",Central Coast Chardonnay,Sandhi,wine_01h0sq495kt96skncj1gg2nbmq,,,,
TRUE,210,WHITE,Sancerre Etienne Silex,H Bourgois,,BOTTLE,2015,8900,,6,"purchase_price: 47.90 € , supplier: WD, retail_price: 96.42 € , glass_price: € 14.83",Sancerre Etienne Henri,Henri Bourgeois,wine_01hawwcxncqfe5cmf5ndb1jvvt,,,,
TRUE,211,WHITE,Clos David Chenin Blanc,Arnaud Lambert,,BOTTLE,2016,5700,,3,"purchase_price: 21.50 € , supplier: Cuzziol, retail_price: 43.28 € , glass_price: € 9.50",Clos David Saumur,Domaine Arnaud Lambert,wine_01h0qsxnva8tp5akdahwhqqhy9,,,,
TRUE,280,WHITE,Cabernet Sauvignon CS,Weingut Heiner,,BOTTLE,2019,5000,,4,"purchase_price: 17.60 € , supplier: O, retail_price: 35.43 € , glass_price: € 8.33",Tra Le Rocce Sauvignon,Heiner,wine_01hndr3f9c0dsmqwf66jrnqpw7,,,,
TRUE,321,RED,Amarone,Bertani,,BOTTLE,2007,14900,,1,"purchase_price: 77.30 € , supplier: Karner, retail_price: 155.60 € , glass_price: € 24.83",Villa Arvedi Amarone,Bertani,wine_01gzr4ksd304mne6hz94hhd71x,,,,
TRUE,322,RED,Valpolicella Classico Superiore,Cà la Bionda,,BOTTLE,2020,4500,,6,"purchase_price: 15.30 € , supplier: FW, retail_price: 30.80 € , glass_price: € 7.50",Malavoglia Valpolicella Ripasso Classico Superiore,Ca La Bionda,wine_01gzr4kthxhcdmh0bnxw8m5n0m,,,,
TRUE,405,RED,Etna Rosso - Feudo di Mezzo,Alta Mora,,BOTTLE,2014,6700,,2,"purchase_price: 30.90 € , supplier: WD, retail_price: 62.20 € , glass_price: € 11.17",Etna Rosso,Torre Mora,wine_01h0qsxnrv5ft8z9070tkt84rg,,,,
TRUE,426,RED,Malbec Riserva,Prodiga,,BOTTLE,2017,5300,,3,"purchase_price: 18.00 € , supplier: WD, retail_price: 36.23 € , glass_price: € 8.83",Riserva Sangiovese di Romagna,Prodigo,wine_01harvcm437e28286yzqghzy0a,,,,
