storage_area,TYPE,name,information,dosage,,winery_name,vintage,purchase_price,quantity,other vintages,visible,unclear,sales_price,glass_price,internal_notes,,
113,WHITE,Terlaner Weissburgunder Eichhorn ,BIO,,,Manincor,2022,20.5,1,"2023-2 euro21,2",1,x,67,11,"300m.ü.M, 8h Mazeration, Gärung; spontan im Holzfass mit Traubeneigenen Hefen, Ausbau; 9 Monate auf der Feinhefe",,
124,WHITE,Weissburgunder Haberle ,,,,Alois Lageder,2018,14.49,1,2019-1 versalto bio 2021- 1 ,1,x,50,8,"480-520m.ü.M. Gärung: Edelstahltank, Ausbau; 6 Moante auf der Feinhefe",,
171,WHITE,Riesling Montiggl,,,,St. Michael Eppan,2020,10.5,2,2022-1 Fallwine ,1,x,41,6,,,
205,WHITE,Sylvaner R ,,,,Köfererhof,2019,19.2,1,"2021-1 2022-1 (21,5)",1,x,64,10,600-750m.ü.M. Gärung & Ausbau im Edelstahl,,
236,WHITE,Sauvignon Quarz,,,,Kellerei Terlan,2020,29.9,2,1,1,x,102,17,,,
287,WHITE,Dolomythos Weiss ,,,"sauvignon, riesling, pinot grigio, …",Ansitz Dolomythos - Panta Rei,2018,29.9,1,Amphorenflaschen 3,1,x,89,14,"150l Holzfässern vergoren und 24 Monate gelagert. 400m.ü.M. Professor Rainer Zierock(Verstorben 09), hat das ganze Weinanwesen nach seinen Wünschen umgebaut, die griechische Mythologie stand dabei im Mittelpunkt.",,
288,WHITE,Weisses Handwerk,,,"60% Chardonnay, 20% Weissburgunder, 20% Sauvignon",Kellerei Kiemberger,2021,19.5,0,aus,1,x,65,10,,,
346,WHITE,Terre Alte ,,,"tocai friulano, pinot blanc, sauvignon",Felluga,2015,41.5,1,"2018-1 2020-3  2021-1 (63,9)",1,x,114,19,"Handlese.Ausbau; 10 Monate, Friulano in kleinen franz. Eichenholz ausgebaut, Pinot blanc & Sauvignon im Stahlfass augebaut. Nach der Assemblage 9 Monate Flaschenlagerung.",,
355,WHITE,Rossj-Bass,,,chardonnay,Gaja,2021,56,1,"2023-2 (59,6)",1,x,123,20,Preis. Gärung, 4 Wochen im Stahl.BSA Und Ausbau für 7 Monate im Barrique.,
389,WHITE,Riesling Smaragd Hochrain,,,Wachau,Hirtzberger,2022,59,1,preis,1,x,98,,,,
415,WHITE,Riesling Grande reserve,,,Pfalz,Metzger,2014,21.4,2,Special Cut 2020-1,1,x,70,11,,,
559,RED,Blauburgunder Riserva,,,,St. Michael Eppan,2018,0,1,2019-1 Fallwind 2020 1 (15),1,x,7,1,"350-550m.ü.M. Gärung; Stahltank. Ausbau; BSA, 12 Monate in BarriqueTonneau 70%, 30% im grossen Holzfass. Assemblage und weitere Reifung im Holzfass",,
581,RED,Mason,,,,Manincor,2019,22.5,0,"2020-3  2022-1 (26,2)",1,x,73,12,,,
615,RED,Merlot Kotznloater ,,,,Pfitscher,2012,8.9,1,2019-2 Cortazo euro 22,1,x,36,5,Gärung, Edelstahltank mit Umwälzung. Ausbau, 8 Monate in Eichenfässern. 2 Monate Flaschenlagerung.
