ok,external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,wine_id,matched_type,matched_name,matched_winery_name,score
True,10,,Haderburg Pas Dosé Pas Dosé,L. Ochsenreiter,,BOTTLE,2019,7900,2450,3,10,Glas Preis: 13.0,True,wine_01h0f3cmbtcrj6dy2n3hdvwpne,SPARKLING,Pas Dosé,I Tamasotti,23.704653
True,100,WHITE,Weissburgunder Platt& Riegl,Kellerei Girlan,,BOTTLE,2021,3900,969,1,100,Glas Preis: 6.0,True,wine_01h0qzm1m6h26prmraqbdja49j,WHITE,Montiggler Weissburgunder,Girlan,29.86462
True,100,WHITE,Weissburgunder Platt& Riegl,Kellerei Girlan,,BOTTLE,2023,3900,969,2,100,Glas Preis: 6.0,False,wine_01h0qzm1m6h26prmraqbdja49j,WHITE,Montiggler Weissburgunder,Girlan,29.864635
True,1000,RED,Montiano,Cotarella,,BOTTLE,2016,11000,3990,2,1000,"Glas Preis: 18.0300m.ü.M. Gärung; Mazeration auf der Schale für 15 Tage im Stahl, BSA im Barrique. Ausbau; 12 Monate in franz. Barrique.",True,wine_01gzr4ktvv996ctebcg07w2w3t,RED,Trentanni Montiano,Cotarella,40.404285
True,1000,RED,Montiano,Cotarella,,BOTTLE,2018,11000,3990,1,1000,"Glas Preis: 18.0300m.ü.M. Gärung; Mazeration auf der Schale für 15 Tage im Stahl, BSA im Barrique. Ausbau; 12 Monate in franz. Barrique.",False,wine_01gzr4ktvv996ctebcg07w2w3t,RED,Trentanni Montiano,Cotarella,40.40428
True,1005,RED,Contado Riserva,Di Majo Norante,,BOTTLE,2009,3400,822,5,1005,"Glas Preis: 5.0100m.ü.M. Gärung; traditionell, Mazeration auf der Schale für 1 Monat, BSA. Ausbau; ein Teil in mittleren Holzbottich, rest im Stahl. 6 Monate Flaschenlagerung.",True,wine_01gzr4ktgvbfw5rggv3fen3420,RED,Contado Aglianico Riserva,Di Majo Norante,50.459442
True,1006,RED,Don Luigi,Di Majo Norante,,BOTTLE,2009,6100,1848,1,1006,"Glas Preis: 10.0100m.ü.M. Gärung; traditionell, Mazeration auf der Schale für 1 Monat, BSA. Ausbau; in neuen Barrique für 12 Monate. 6 Monate Flaschenlagerung.",True,wine_01gzr4ktgvkajg2cd3nbr6xb85,RED,Don Luigi Riserva,Di Majo Norante,54.30874
True,1006,RED,Don Luigi,Di Majo Norante,,BOTTLE,2011,6100,1848,1,1006,"Glas Preis: 10.0100m.ü.M. Gärung; traditionell, Mazeration auf der Schale für 1 Monat, BSA. Ausbau; in neuen Barrique für 12 Monate. 6 Monate Flaschenlagerung.",False,wine_01gzr4ktgvkajg2cd3nbr6xb85,RED,Don Luigi Riserva,Di Majo Norante,54.30873
True,101,WHITE,Weissburgunder Schulthauser,Kellerei St. Michael Eppan,,BOTTLE,2021,3900,980,1,101,Glas Preis: 6.0,True,wine_01gzr4kskqhvbre4ann8ryaw6c,WHITE,Pinot Bianco Schulthauser,St. Michael-Eppan,47.1696
True,101,WHITE,Weissburgunder Schulthauser,Kellerei St. Michael Eppan,,BOTTLE,2022,3900,980,1,101,Glas Preis: 6.0,False,wine_01gzr4kskqhvbre4ann8ryaw6c,WHITE,Pinot Bianco Schulthauser,St. Michael-Eppan,47.169613
