external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible
0004,,RED MOON ,,,BOTTLE,0,0,0,5,0004,,True
0005,,Cuvée Marianna  Extra Brut,Arunda Vivaldi,,BOTTLE,0,7300,2250,3,0005,"Glas Preis: 12.0

",True
0006,,Arunda Riserva Millesimato Extra Brut,Arunda Vivaldi,,BOTTLE,2016,8100,2500,2,0006,"Glas Preis: 13.0

",True
0007,,Arunda Rosé  Brut,Arunda Vivaldi,,BOTTLE,0,6700,2050,0,0007,"Glas Preis: 11.0

",True
0008,,Comitissa Riserva Pas Dosé,Lorenz Martini,,BOTTLE,2018,7300,2250,2,0008,"Glas Preis: 12.0

",True
0009,,Haderburg  Brut,L. Ochsenreiter,,BOTTLE,0,6000,1810,3,0009,"Glas Preis: 10.0

",True
0010,,Haderburg Pas Dosé Pas Dosé,L. Ochsenreiter,,BOTTLE,2019,7900,2450,3,0010,"Glas Preis: 13.0

",True
0011,,Arunda Parlein  Brut,Arunda Vivaldi,,BOTTLE,0,7000,2150,0,0011,"Glas Preis: 11.0

",True
0012,,Haderburg Riserva Hausmannhof Brut,L. Ochsenreiter,,BOTTLE,2013,11600,4200,1,0012,"Glas Preis: 19.0

",True
0013,,Praeclarus Cuvée St. Pauls  Brut,St. Pauls,,BOTTLE,0,5600,1650,3,0013,"Glas Preis: 9.0

",True
0014,,Athesis  Brut,Kettmeir,,BOTTLE,2019,6200,1850,1,0014,"Glas Preis: 10.0

",True
0015,,Blanc de Rouge  Extra Dry,Hartmann Donà,,BOTTLE,0,5600,1575,3,0015,"Glas Preis: 9.0

",True
0016,,Kettmeir  Pas Dosé,Kettmeir,,BOTTLE,0,7400,2265,5,0016,"Glas Preis: 12.0

",True
0017,,1919 Riserva Extra Brut,Kettmeir,,BOTTLE,2017,8300,3020,6,0017,"Glas Preis: 13.0

",True
0023,,Ferrari Perlé Brut,Cantine Ferrari,,BOTTLE,2017,8700,2850,1,0023,"Glas Preis: 14.0

",True
0024,,Dorigati Methius Riserva Brut,Dorigati,,BOTTLE,2018,8100,2930,3,0024,"Glas Preis: 13.0

",True
0025,,Giulio Ferrari Riserva del  Fondatore  Extra Brut,Cantine Ferrari,,BOTTLE,2010,27000,13500,3,0025,"Glas Preis: 45.0

",True
0026,,Ferrari Perlé Zero Brut nature,Cantine Ferrari,,BOTTLE,2010,11000,4990,2,0026,"Glas Preis: 18.0

",True
0027,,Giulio Ferrari Rosé Riserva  Extra Brut,,,BOTTLE,2008,38000,17900,1,0027,"Glas Preis: 63.0

",True
0028,,Art Brut,,,BOTTLE,0,5600,1510,7,0028,"Glas Preis: 9.0

",True
0030,,Franciacorta Bellavista Alma Grande Cuvée Brut,Bellavista,,BOTTLE,0,8500,2650,3,0030,"Glas Preis: 14.0

",True
0031,,Bellavista Rose Grand Cuvee  Pas Dosé,Bellavista,,BOTTLE,0,10500,3800,2,0031,"Glas Preis: 17.0

43% in Holz, mind. 5 JahreReifung im Keller",True
0032,,Bellavista Vittorio Moretti  Extra Brut,Bellavista,,BOTTLE,2013,19800,8990,1,0032,"Glas Preis: 32.0

",True
0034,,Blanc de Blanc Brut,Casa Caterina,,BOTTLE,0,8100,2490,3,0034,,True
0036,,Bellavista Gran Cuvee Satèn Brut,Bellavista,,BOTTLE,2017,10700,3900,1,0036,"Glas Preis: 17.0

",True
0039,,Buvoli Tre Extra Brut Extra Brut,Buvoli,,BOTTLE,0,6300,1889,4,0039,"Glas Preis: 10.0

",True
0040,,Bisol Crede Prosecco DOCG Brut,Bisol,,BOTTLE,0,4300,1090,1,0040,"Glas Preis: 7.0

",True
0041,,Prosecco di Conegliano  Extra Dry,Cà del Ru,,BOTTLE,0,3200,780,0,0041,"Glas Preis: 5.0

",True
0043,,Blanc de Blanc 2012 Brut,Hoffmann & Rathbone,,BOTTLE,2012,11800,4290,14,0043,"Glas Preis: 19.0

",True
0044,,Classic Curée Brut,Hoffmann & Rathbone,,BOTTLE,2014,10700,3879,3,0044,"Glas Preis: 17.0

",True
0045,,Rosé Reserve Brut,Hoffmann & Rathbone,,BOTTLE,2012,12300,4470,10,0045,"Glas Preis: 20.0

",True
0047,,Fleury Fleur de l'Europe Nature Brut nature,Fleury,,BOTTLE,0,11600,4200,5,0047,"Glas Preis: 19.0

",True
0049,,Dom Perignon Rosé  Brut,Moet & Chandon,,BOTTLE,2000,57000,28939,2,0049,"Glas Preis: 95.0

",True
0050,,Bollinger Special Cuvée Brut,Bollinger ,,BOTTLE,0,13100,5950,3,0050,"Glas Preis: 21.0

Bollinger hat mindestens 3 Jahre Kellerreife.",True
0051,,Ruinart Brut But,Ruinart,,BOTTLE,0,12200,5550,3,0051,"Glas Preis: 20.0

Handlese, BSA",True
0052,,Ruinart Brut Rosé Brut,Ruinart,,BOTTLE,0,18700,8500,3,0052,"Glas Preis: 31.0

Handlese, BSA",True
